date,LotNumber,predicted_peak_usage,has_football_game,is_finals,is_commencement
2025-05-01,70,105.0,False,False,False
2025-05-01,10,103.0,False,False,False
2025-05-05,70,105.0,False,False,False
2025-05-05,10,103.0,False,False,False
2025-05-06,70,105.0,False,False,False
2025-05-06,10,104.0,False,False,False
2025-05-07,70,105.0,False,False,False
2025-05-07,10,103.0,False,False,False
2025-05-08,70,104.0,False,False,False
2025-05-08,10,103.0,False,False,False
2025-05-12,70,104.0,False,True,False
2025-05-12,10,103.0,False,True,False
2025-05-12,40,100.0,False,True,False
2025-05-12,11,90.0,False,True,False
2025-05-12,50,84.0,False,True,False
2025-05-12,80,83.0,False,True,False
2025-05-12,30,74.0,False,True,False
2025-05-12,6,50.0,False,True,False
2025-05-12,13,47.0,False,True,False
2025-05-12,3,44.0,False,True,False
2025-05-13,70,105.0,False,False,False
2025-05-13,10,104.0,False,False,False
2025-05-14,70,104.0,False,False,False
2025-05-14,10,103.0,False,False,False
2025-05-16,11,92.0,False,True,False
2025-05-16,70,85.0,False,True,False
2025-05-16,50,83.0,False,True,False
2025-05-16,40,81.0,False,True,False
2025-05-16,10,78.0,False,True,False
2025-05-16,80,75.0,False,True,False
2025-05-16,30,75.0,False,True,False
2025-05-16,13,49.0,False,True,False
2025-05-16,6,48.0,False,True,False
2025-05-16,3,37.0,False,True,False
2025-05-19,70,104.0,False,False,False
2025-05-19,10,103.0,False,False,False
2025-05-20,70,105.0,False,False,False
2025-05-20,10,103.0,False,False,False
2025-05-20,40,102.0,False,False,False
2025-05-21,70,104.0,False,False,False
2025-05-21,10,102.0,False,False,False
2025-05-22,70,103.0,False,False,False
2025-05-26,70,105.0,False,False,False
2025-05-26,10,102.0,False,False,False
2025-05-27,70,104.0,False,False,False
2025-05-27,10,103.0,False,False,False
2025-05-27,40,102.0,False,False,False
2025-05-28,70,104.0,False,False,False
2025-05-28,10,102.0,False,False,False
2025-05-28,40,102.0,False,False,False
2025-05-29,70,103.0,False,False,False
2025-05-29,10,102.0,False,False,False
2025-06-02,70,104.0,False,False,False
2025-06-03,70,104.0,False,False,False
2025-06-03,40,102.0,False,False,False
2025-06-04,70,104.0,False,False,False
2025-06-04,40,102.0,False,False,False
2025-06-05,70,103.0,False,False,False
2025-06-09,70,107.0,False,False,False
2025-06-09,40,103.0,False,False,False
2025-06-10,70,106.0,False,False,False
2025-06-10,40,103.0,False,False,False
2025-06-11,70,106.0,False,False,False
2025-06-11,40,103.0,False,False,False
2025-06-12,70,106.0,False,False,False
2025-06-12,40,103.0,False,False,False
2025-06-16,70,107.0,False,False,False
2025-06-16,40,103.0,False,False,False
2025-06-17,70,107.0,False,False,False
2025-06-17,40,104.0,False,False,False
2025-06-18,70,107.0,False,False,False
2025-06-18,40,103.0,False,False,False
2025-06-19,70,106.0,False,False,False
2025-06-19,40,103.0,False,False,False
2025-06-23,70,107.0,False,False,False
2025-06-23,40,103.0,False,False,False
2025-06-24,70,107.0,False,False,False
2025-06-24,40,104.0,False,False,False
2025-06-25,70,107.0,False,False,False
2025-06-25,40,103.0,False,False,False
2025-06-26,70,106.0,False,False,False
2025-06-26,40,103.0,False,False,False
2025-06-30,70,109.0,False,False,False
2025-06-30,40,105.0,False,False,False
2025-07-01,70,108.0,False,False,False
2025-07-01,40,105.0,False,False,False
2025-07-02,70,108.0,False,False,False
2025-07-02,40,105.0,False,False,False
2025-07-03,70,107.0,False,False,False
2025-07-03,40,104.0,False,False,False
2025-07-07,70,109.0,False,False,False
2025-07-07,40,105.0,False,False,False
2025-07-08,70,108.0,False,False,False
2025-07-08,40,105.0,False,False,False
2025-07-09,70,108.0,False,False,False
2025-07-09,40,105.0,False,False,False
2025-07-10,70,107.0,False,False,False
2025-07-10,40,104.0,False,False,False
2025-07-14,70,109.0,False,False,False
2025-07-14,40,105.0,False,False,False
2025-07-15,70,108.0,False,False,False
2025-07-15,40,105.0,False,False,False
2025-07-16,70,108.0,False,False,False
2025-07-16,40,105.0,False,False,False
2025-07-17,70,107.0,False,False,False
2025-07-17,40,104.0,False,False,False
2025-07-21,70,109.0,False,False,False
2025-07-21,40,105.0,False,False,False
2025-07-22,70,108.0,False,False,False
2025-07-22,40,105.0,False,False,False
2025-07-23,70,108.0,False,False,False
2025-07-23,40,105.0,False,False,False
2025-07-24,70,107.0,False,False,False
2025-07-24,40,104.0,False,False,False
2025-07-28,70,106.0,False,False,False
2025-07-28,40,103.0,False,False,False
2025-07-29,70,106.0,False,False,False
2025-07-29,40,104.0,False,False,False
2025-07-30,70,106.0,False,False,False
2025-07-30,40,103.0,False,False,False
2025-07-31,70,105.0,False,False,False
2025-07-31,40,103.0,False,False,False
2025-08-04,70,106.0,False,False,False
2025-08-04,40,103.0,False,False,False
2025-08-05,70,106.0,False,False,False
2025-08-05,40,104.0,False,False,False
2025-08-06,70,106.0,False,False,False
2025-08-06,40,103.0,False,False,False
2025-08-07,70,106.0,False,False,False
2025-08-07,40,103.0,False,False,False
2025-08-11,70,106.0,False,False,False
2025-08-11,40,102.0,False,False,False
2025-08-12,70,107.0,False,False,False
2025-08-12,40,103.0,False,False,False
2025-08-13,70,106.0,False,False,False
2025-08-13,40,103.0,False,False,False
2025-08-14,70,106.0,False,False,False
2025-08-14,40,103.0,False,False,False
2025-08-18,70,106.0,False,False,False
2025-08-18,40,102.0,False,False,False
2025-08-19,70,107.0,False,False,False
2025-08-19,40,103.0,False,False,False
2025-08-20,70,106.0,False,False,False
2025-08-20,40,103.0,False,False,False
2025-08-21,70,106.0,False,False,False
2025-08-21,40,103.0,False,False,False
2025-08-25,70,106.0,False,False,False
