Date,Event_Type,Description,Category,Sport,Opponent,Location,Result,Year,Month,Weekday,Is_Weekend
2025-05-16,HOME_GAME,,Sports,BASEBALL,#5 OREGON,"Iowa City, Iowa",L 6-9,2025,5,Friday,False
2025-05-17,HOME_GAME,,Sports,BASEBALL,#5 OREGON,"Iowa City, Iowa",L 4-13,2025,5,Saturday,True
2025-05-18,COMMENCEMENT_END,Commencement ceremonies End,Academic,,,,,2025,5,Sunday,True
2025-05-19,CLASS_START,Opening of Classes,Academic,,,,,2025,5,Monday,False
2025-05-26,HOLIDAY,"Memorial Day - University Holiday--No Classes, Offices Closed",Academic,,,,,2025,5,Monday,False
2025-07-04,HOLIDAY,Independence Day - Federal Holiday - No Classes,Academic,,,,,2025,7,Friday,False
2025-08-08,CLASS_END,Close of Classes,Academic,,,,,2025,8,Friday,False
2025-08-25,CLASS_START,Opening of Classes,Academic,,,,,2025,8,Monday,False
2025-09-01,HOLIDAY,Labor Day - University Holiday--No Classes; Offices Closed,Academic,,,,,2025,9,Monday,False
2025-11-23,BREAK_START,Fall Break Start,Academic,,,,,2025,11,Sunday,True
2025-11-27,HOLIDAY,"University Holidays, Offices Closed",Academic,,,,,2025,11,Thursday,False
2025-11-28,HOLIDAY,"University Holidays, Offices Closed",Academic,,,,,2025,11,Friday,False
2025-11-30,BREAK_END,Fall Break End,Academic,,,,,2025,11,Sunday,True
2025-12-01,CLASS_RESUME,Classes resume,Academic,,,,,2025,12,Monday,False
2025-12-12,CLASS_END,Close of Classes,Academic,,,,,2025,12,Friday,False
2025-12-15,FINALS_START,Final Examination Week Start,Academic,,,,,2025,12,Monday,False
2025-12-18,COMMENCEMENT_START,Commencement ceremonies Start,Academic,,,,,2025,12,Thursday,False
2025-12-19,FINALS_END,Final Examination Week End,Academic,,,,,2025,12,Friday,False
2025-12-21,COMMENCEMENT_END,Commencement ceremonies End,Academic,,,,,2025,12,Sunday,True
2025-12-22,CLASS_START,Opening of Classes,Academic,,,,,2025,12,Monday,False
2025-12-25,HOLIDAY,"University Holiday, Offices Closed",Academic,,,,,2025,12,Thursday,False
2025-12-25,HOLIDAY,Federal Holiday - No Classes,Academic,,,,,2025,12,Thursday,False
2025-12-26,HOLIDAY,"University Holiday, Offices Closed",Academic,,,,,2025,12,Friday,False
2026-01-01,HOLIDAY,Federal Holiday - No Classes,Academic,,,,,2026,1,Thursday,False
2026-01-01,HOLIDAY,University Holiday--No Classes; Offices Closed,Academic,,,,,2026,1,Thursday,False
2026-01-16,CLASS_END,Close of Classes,Academic,,,,,2026,1,Friday,False
