Date,Event_Type,Description,Category,Sport,Opponent,Location,Result,Year,Month,Weekday,Is_Weekend
2023-05-11,COMMENCEMENT_START,Commencement ceremonies Start,Academic,,,,,2023,5,Thursday,False
2023-05-12,HOME_GAME,,Sports,BASEBALL,MICHIGAN STATE,"Iowa City, IA",W 9-0,2023,5,Friday,False
2023-05-12,FINALS_END,Final Examination Week End,Academic,,,,,2023,5,Friday,False
2023-05-13,HOME_GAME,,Sports,BASEBALL,MICHIGAN STATE,"Iowa City, IA",W 8-6,2023,5,Saturday,True
2023-05-14,COMMENCEMENT_END,Commencement ceremonies End,Academic,,,,,2023,5,Sunday,True
2023-05-14,HOME_GAME,,Sports,BASEBALL,MICHIGAN STATE,"Iowa City, IA",W 5-1,2023,5,Sunday,True
2023-05-15,CLASS_START,Opening of Classes,Academic,,,,,2023,5,Monday,False
2023-05-29,HOLIDAY,"Memorial Day - University Holiday--No Classes, Offices Closed",Academic,,,,,2023,5,Monday,False
2023-07-04,HOLIDAY,"Independence Day - University Holiday--No Classes, Offices Closed",Academic,,,,,2023,7,Tuesday,False
2023-08-04,CLASS_END,Close of Classes,Academic,,,,,2023,8,Friday,False
2023-08-21,CLASS_START,Opening of Classes,Academic,,,,,2023,8,Monday,False
2023-09-02,HOME_GAME,,Sports,FOOTBALL,UTAH STATE,"Iowa City, Iowa",W 24-14,2023,9,Saturday,True
2023-09-04,HOLIDAY,Labor Day - University Holiday--No Classes; Offices Closed,Academic,,,,,2023,9,Monday,False
2023-09-16,HOME_GAME,,Sports,FOOTBALL,WESTERN MICHIGAN,"Iowa City, Iowa",W 41-10,2023,9,Saturday,True
2023-09-30,HOME_GAME,,Sports,FOOTBALL,MICHIGAN STATE,"Iowa City, Iowa",W 26-16,2023,9,Saturday,True
2023-10-07,HOME_GAME,,Sports,FOOTBALL,PURDUE,"Iowa City, Iowa",W 20-14,2023,10,Saturday,True
2023-10-21,HOME_GAME,,Sports,FOOTBALL,MINNESOTA,"Iowa City, Iowa",L 10-12,2023,10,Saturday,True
2023-10-30,HOME_GAME,,Sports,BASKETBALL,QUINCY,"Iowa City, Iowa",W 103-76,2023,10,Monday,False
2023-11-07,HOME_GAME,,Sports,BASKETBALL,NORTH DAKOTA,"Iowa City, Iowa",W 110-68,2023,11,Tuesday,False
2023-11-10,HOME_GAME,,Sports,BASKETBALL,ALABAMA STATE,"Iowa City, Iowa",W 98-67,2023,11,Friday,False
2023-11-11,HOME_GAME,,Sports,FOOTBALL,RUTGERS,"Iowa City, Iowa",W 22-0,2023,11,Saturday,True
2023-11-17,HOME_GAME,,Sports,BASKETBALL,ARKANSAS STATE,"Iowa City, Iowa",W 88-74,2023,11,Friday,False
2023-11-18,HOME_GAME,,Sports,FOOTBALL,ILLINOIS,"Iowa City, Iowa",W 15-13,2023,11,Saturday,True
2023-11-19,HOME_MATCH,,Sports,WRESTLING,#16 OREGON STATE,"Iowa City, Iowa",W 25-11,2023,11,Sunday,True
2023-11-19,BREAK_START,Fall Break Start,Academic,,,,,2023,11,Sunday,True
2023-11-23,HOLIDAY,"University Holidays, Offices Closed",Academic,,,,,2023,11,Thursday,False
2023-11-24,HOLIDAY,"University Holidays, Offices Closed",Academic,,,,,2023,11,Friday,False
2023-11-26,BREAK_END,Fall Break End,Academic,,,,,2023,11,Sunday,True
2023-11-27,CLASS_RESUME,Classes resume,Academic,,,,,2023,11,Monday,False
2023-11-29,HOME_GAME,,Sports,BASKETBALL,NORTH FLORIDA,"Iowa City, Iowa",W 103-78,2023,11,Wednesday,False
2023-12-08,CLASS_END,Close of Classes,Academic,,,,,2023,12,Friday,False
2023-12-08,HOME_MATCH,,Sports,WRESTLING,COLUMBIA,"Iowa City, Iowa",W 38-3,2023,12,Friday,False
2023-12-10,HOME_GAME,,Sports,BASKETBALL,MICHIGAN,"Iowa City, Iowa",L 80-90,2023,12,Sunday,True
2023-12-11,FINALS_START,Final Examination Week Start,Academic,,,,,2023,12,Monday,False
2023-12-14,COMMENCEMENT_START,Commencement ceremonies Start,Academic,,,,,2023,12,Thursday,False
2023-12-15,FINALS_END,Final Examination Week End,Academic,,,,,2023,12,Friday,False
2023-12-17,COMMENCEMENT_END,Commencement ceremonies End,Academic,,,,,2023,12,Sunday,True
2023-12-18,CLASS_START,Opening of Classes,Academic,,,,,2023,12,Monday,False
2023-12-20,HOME_GAME,,Sports,BASKETBALL,UMBC,"Iowa City, Iowa",W 103-81,2023,12,Wednesday,False
2023-12-25,HOLIDAY,"University Holiday, Offices Closed",Academic,,,,,2023,12,Monday,False
2023-12-25,HOLIDAY,Federal Holiday - No Classes,Academic,,,,,2023,12,Monday,False
2023-12-26,HOLIDAY,"University Holiday, Offices Closed",Academic,,,,,2023,12,Tuesday,False
2023-12-29,HOME_GAME,,Sports,BASKETBALL,NORTHERN ILLINOIS,"Iowa City, Iowa",W 103-74,2023,12,Friday,False
2024-01-01,HOLIDAY,Federal Holiday - No Classes,Academic,,,,,2024,1,Monday,False
2024-01-01,HOLIDAY,University Holiday--No Classes; Offices Closed,Academic,,,,,2024,1,Monday,False
2024-01-06,HOME_GAME,,Sports,BASKETBALL,RUTGERS,"Iowa City, Iowa",W 86-77,2024,1,Saturday,True
2024-01-12,CLASS_END,Close of Classes,Academic,,,,,2024,1,Friday,False
2024-01-12,HOME_GAME,,Sports,BASKETBALL,NEBRASKA,"Iowa City, Iowa",W 94-76,2024,1,Friday,False
2024-01-15,HOME_MATCH,,Sports,WRESTLING,#10 MINNESOTA,"Iowa City, Iowa",W 22-9,2024,1,Monday,False
2024-01-15,HOLIDAY,"Martin Luther King, Jr. Convocation--All Classes Suspended; Offices Closed",Academic,,,,,2024,1,Monday,False
2024-01-16,CLASS_START,Opening of Classes,Academic,,,,,2024,1,Tuesday,False
2024-01-19,HOME_MATCH,,Sports,WRESTLING,PURDUE,"Iowa City, Iowa",W 34-6,2024,1,Friday,False
2024-01-20,HOME_GAME,,Sports,BASKETBALL,#2 PURDUE,"Iowa City, Iowa",L 70-84,2024,1,Saturday,True
2024-01-24,HOME_GAME,,Sports,BASKETBALL,MARYLAND,"Iowa City, Iowa",L 67-69,2024,1,Wednesday,False
2024-02-02,HOME_GAME,,Sports,BASKETBALL,OHIO STATE,"Iowa City, Iowa",W 79-77,2024,2,Friday,False
2024-02-09,HOME_MATCH,,Sports,WRESTLING,#1 PENN STATE,"Iowa City, Iowa",L 6-29,2024,2,Friday,False
2024-02-11,HOME_GAME,,Sports,BASKETBALL,MINNESOTA,"Iowa City, Iowa",W 90-85,2024,2,Sunday,True
2024-02-17,HOME_GAME,,Sports,BASKETBALL,#20 WISCONSIN,"Iowa City, Iowa",W 88-86,2024,2,Saturday,True
2024-02-18,HOME_MATCH,,Sports,WRESTLING,WISCONSIN,"Iowa City, Iowa",W 34-7,2024,2,Sunday,True
2024-02-20,HOME_GAME,,Sports,BASEBALL,LORAS,"Iowa City, Iowa",W 20-6,2024,2,Tuesday,False
2024-02-27,HOME_GAME,,Sports,BASKETBALL,PENN STATE,"Iowa City, Iowa",W 90-81,2024,2,Tuesday,False
2024-02-27,HOME_GAME,,Sports,BASEBALL,NORTHERN ILLINOIS,"Iowa City, Iowa",W 14-6,2024,2,Tuesday,False
2024-03-05,HOME_GAME,,Sports,BASEBALL,ST. THOMAS,"Iowa City, Iowa",W 9-3,2024,3,Tuesday,False
2024-03-10,HOME_GAME,,Sports,BASKETBALL,#12 ILLINOIS,"Iowa City, Iowa",L 61-73,2024,3,Sunday,True
2024-03-10,BREAK_START,Spring Break Start,Academic,,,,,2024,3,Sunday,True
2024-03-15,HOME_GAME,,Sports,BASEBALL,WESTERN ILLINOIS,"Iowa City, Iowa",W 11-1,2024,3,Friday,False
2024-03-16,HOME_GAME,,Sports,BASEBALL,WESTERN ILLINOIS,"Iowa City, Iowa",W 19-9,2024,3,Saturday,True
2024-03-16,HOME_GAME,,Sports,BASEBALL,WESTERN ILLINOIS,"Iowa City, Iowa",W 17-7,2024,3,Saturday,True
2024-03-17,BREAK_END,Spring Break End,Academic,,,,,2024,3,Sunday,True
2024-03-18,CLASS_RESUME,Classes resume,Academic,,,,,2024,3,Monday,False
2024-03-19,HOME_GAME,,Sports,BASKETBALL,KANSAS STATE,"Iowa City, Iowa",W 91-82,2024,3,Tuesday,False
2024-03-19,HOME_GAME,,Sports,BASEBALL,GRAND VIEW,"Iowa City, Iowa",W 25-3,2024,3,Tuesday,False
2024-03-29,HOME_GAME,,Sports,BASEBALL,MINNESOTA,"Iowa City, Iowa",L 9-16,2024,3,Friday,False
2024-03-30,HOME_GAME,,Sports,BASEBALL,MINNESOTA,"Iowa City, Iowa",W 14-6,2024,3,Saturday,True
2024-03-31,HOME_GAME,,Sports,BASEBALL,MINNESOTA,"Iowa City, Iowa",W 10-4,2024,3,Sunday,True
2024-04-05,HOME_GAME,,Sports,BASEBALL,MICHIGAN,"Iowa City, Iowa",W 3-2,2024,4,Friday,False
2024-04-06,HOME_GAME,,Sports,BASEBALL,MICHIGAN,"Iowa City, Iowa",L 6-10,2024,4,Saturday,True
2024-04-06,HOME_GAME,,Sports,BASEBALL,MICHIGAN,"Iowa City, Iowa",L 3-4,2024,4,Saturday,True
2024-04-10,HOME_GAME,,Sports,BASEBALL,ST. THOMAS,"Iowa City, Iowa",W 17-11,2024,4,Wednesday,False
2024-04-17,HOME_GAME,,Sports,BASEBALL,BRADLEY,"Iowa City, Iowa",W 11-6,2024,4,Wednesday,False
2024-04-19,HOME_GAME,,Sports,BASEBALL,RUTGERS,"Iowa City, Iowa",W 8-1,2024,4,Friday,False
2024-04-20,HOME_GAME,,Sports,BASEBALL,RUTGERS,"Iowa City, Iowa",W 15-5,2024,4,Saturday,True
2024-04-21,HOME_GAME,,Sports,BASEBALL,RUTGERS,"Iowa City, Iowa",W 5-1,2024,4,Sunday,True
2024-04-23,HOME_GAME,,Sports,BASEBALL,MILWAUKEE,"Iowa City, Iowa",W 12-6,2024,4,Tuesday,False
2024-04-30,HOME_GAME,,Sports,BASEBALL,ILLINOIS STATE,"Iowa City, Iowa",W 8-7,2024,4,Tuesday,False
2024-05-01,HOME_GAME,,Sports,BASEBALL,NORTH DAKOTA STATE,"Iowa City, Iowa",L 14-21,2024,5,Wednesday,False
2024-05-03,CLASS_END,Close of Classes,Academic,,,,,2024,5,Friday,False
2024-05-03,HOME_GAME,,Sports,BASEBALL,NORTHWESTERN,"Iowa City, Iowa",W 4-3,2024,5,Friday,False
2024-05-04,HOME_GAME,,Sports,BASEBALL,NORTHWESTERN,"Iowa City, Iowa",W 9-2,2024,5,Saturday,True
2024-05-05,HOME_GAME,,Sports,BASEBALL,NORTHWESTERN,"Iowa City, Iowa",W 6-5,2024,5,Sunday,True
2024-05-06,FINALS_START,Final Examination Week Start,Academic,,,,,2024,5,Monday,False
2024-05-09,COMMENCEMENT_START,Commencement ceremonies Start,Academic,,,,,2024,5,Thursday,False
2024-05-10,FINALS_END,Final Examination Week End,Academic,,,,,2024,5,Friday,False
2024-05-12,COMMENCEMENT_END,Commencement ceremonies End,Academic,,,,,2024,5,Sunday,True
2024-05-13,CLASS_START,Opening of Classes,Academic,,,,,2024,5,Monday,False
2024-05-27,HOLIDAY,"Memorial Day - University Holiday--No Classes, Offices Closed",Academic,,,,,2024,5,Monday,False
2024-07-04,HOLIDAY,Independence Day - Federal Holiday - No Classes,Academic,,,,,2024,7,Thursday,False
2024-08-02,CLASS_END,Close of Classes,Academic,,,,,2024,8,Friday,False
2024-08-26,CLASS_START,Opening of Classes,Academic,,,,,2024,8,Monday,False
2024-08-31,HOME_GAME,,Sports,FOOTBALL,ILLINOIS STATE,"Iowa City, Iowa",W 40-0,2024,8,Saturday,True
2024-09-02,HOLIDAY,Labor Day - University Holiday--No Classes; Offices Closed,Academic,,,,,2024,9,Monday,False
2024-09-07,HOME_GAME,,Sports,FOOTBALL,IOWA STATE,"Iowa City, Iowa",L 19-20,2024,9,Saturday,True
2024-09-14,HOME_GAME,,Sports,FOOTBALL,TROY,"Iowa City, Iowa",W 38-21,2024,9,Saturday,True
2024-10-12,HOME_GAME,,Sports,FOOTBALL,WASHINGTON,"Iowa City, Iowa",W 40-16,2024,10,Saturday,True
2024-10-25,HOME_GAME,,Sports,BASKETBALL,MINNESOTA-DULUTH,"Iowa City, Iowa",W 102-81,2024,10,Friday,False
2024-10-26,HOME_GAME,,Sports,FOOTBALL,NORTHWESTERN,"Iowa City, Iowa",W 40-14,2024,10,Saturday,True
2024-11-02,HOME_GAME,,Sports,FOOTBALL,WISCONSIN,"Iowa City, Iowa",W 42-10,2024,11,Saturday,True
2024-11-04,HOME_GAME,,Sports,BASKETBALL,TEXAS A&M COMMERCE,"Iowa City, Iowa",W 89-67,2024,11,Monday,False
2024-11-07,HOME_GAME,,Sports,BASKETBALL,SOUTHERN,"Iowa City, Iowa",W 89-74,2024,11,Thursday,False
2024-11-09,HOME_MATCH,,Sports,WRESTLING,#20 STANFORD,"Iowa City, Iowa",W 32-9,2024,11,Saturday,True
2024-11-12,HOME_GAME,,Sports,BASKETBALL,SOUTH DAKOTA,"Iowa City, Iowa",W 96-77,2024,11,Tuesday,False
2024-11-19,HOME_GAME,,Sports,BASKETBALL,RIDER,"Iowa City, Iowa",W 83-58,2024,11,Tuesday,False
2024-11-23,HOME_MATCH,,Sports,WRESTLING,#12 IOWA STATE,"Iowa City, Iowa",W 21-15,2024,11,Saturday,True
2024-11-24,BREAK_START,Fall Break Start,Academic,,,,,2024,11,Sunday,True
2024-11-26,HOME_GAME,,Sports,BASKETBALL,USC UPSTATE,"Iowa City, Iowa",W 110-77,2024,11,Tuesday,False
2024-11-28,HOLIDAY,"University Holidays, Offices Closed",Academic,,,,,2024,11,Thursday,False
2024-11-29,HOME_GAME,,Sports,FOOTBALL,NEBRASKA,"Iowa City, Iowa",W 13-10,2024,11,Friday,False
2024-11-29,HOLIDAY,"University Holidays, Offices Closed",Academic,,,,,2024,11,Friday,False
