LotNumber,hour,transactions,time_period
24,17,387,Afternoon
24,18,388,Evening
24,19,289,Evening
24,20,159,Evening
24,21,104,Evening
24,22,65,Evening
24,23,40,Evening
30,0,1268,Night
30,1,1398,Night
30,2,1212,Night
30,3,933,Night
30,4,1169,Night
30,5,8663,Night
30,6,48798,Morning
30,7,44194,Morning
30,8,24773,Morning
30,9,9981,Morning
30,10,8379,Morning
30,11,5352,Morning
30,12,6305,Afternoon
30,13,7174,Afternoon
30,14,17593,Afternoon
30,15,5012,Afternoon
30,16,7340,Afternoon
30,17,7912,Afternoon
30,18,63649,Evening
30,19,5958,Evening
30,20,2459,Evening
30,21,4839,Evening
30,22,12606,Evening
30,23,2117,Evening
33,0,38,Night
33,1,28,Night
33,2,40,Night
33,3,38,Night
33,4,40,Night
33,5,92,Night
33,6,1821,Morning
33,7,6564,Morning
33,8,4407,Morning
33,9,1615,Morning
33,10,1421,Morning
33,11,1024,Morning
33,12,2181,Afternoon
33,13,1538,Afternoon
33,14,2006,Afternoon
33,15,1314,Afternoon
33,16,992,Afternoon
33,17,483,Afternoon
33,18,620,Evening
33,19,494,Evening
33,20,477,Evening
33,21,247,Evening
33,22,209,Evening
33,23,91,Evening
34,0,8,Night
34,1,13,Night
34,2,7,Night
34,3,7,Night
34,4,6,Night
34,5,73,Night
34,6,1202,Morning
34,7,6735,Morning
34,8,10844,Morning
34,9,4807,Morning
34,10,2417,Morning
34,11,2340,Morning
34,12,3664,Afternoon
34,13,2779,Afternoon
34,14,1393,Afternoon
34,15,732,Afternoon
34,16,556,Afternoon
34,17,1004,Afternoon
34,18,329,Evening
34,19,173,Evening
34,20,127,Evening
34,21,50,Evening
34,22,18,Evening
34,23,14,Evening
38,8,5,Morning
38,9,2,Morning
38,14,2,Afternoon
40,0,3,Night
40,1,2,Night
40,2,1,Night
40,3,13,Night
40,4,18,Night
40,5,58,Night
40,6,235,Morning
40,7,69527,Morning
40,8,53742,Morning
40,9,13440,Morning
40,10,6385,Morning
40,11,6672,Morning
40,12,12288,Afternoon
40,13,8346,Afternoon
40,14,3917,Afternoon
40,15,1879,Afternoon
40,16,693,Afternoon
40,17,46,Afternoon
40,18,24,Evening
40,19,17,Evening
40,20,12,Evening
40,21,16,Evening
40,22,3,Evening
40,23,4,Evening
50,0,973,Night
50,1,898,Night
50,2,1264,Night
50,3,2191,Night
50,4,5084,Night
50,5,7674,Night
50,6,40737,Morning
50,7,29416,Morning
50,8,22634,Morning
50,9,11672,Morning
50,10,9320,Morning
50,11,9581,Morning
50,12,8854,Afternoon
50,13,11802,Afternoon
50,14,25934,Afternoon
50,15,17842,Afternoon
50,16,35232,Afternoon
50,17,10568,Afternoon
50,18,34911,Evening
50,19,6930,Evening
50,20,9053,Evening
50,21,17176,Evening
50,22,13763,Evening
50,23,3997,Evening
51,5,1,Night
51,6,1,Morning
51,7,6606,Morning
51,8,5772,Morning
51,9,1657,Morning
51,10,1367,Morning
51,11,1478,Morning
51,12,4107,Afternoon
51,13,2523,Afternoon
51,14,1402,Afternoon
51,15,568,Afternoon
51,16,298,Afternoon
51,17,1,Afternoon
56,0,432,Night
